dataset,dataset_shape,javascript_runtime,javascript_score,model,params,python_runtime,python_score
german,"(1000, 20)",71.790973,0.656,DecisionTreeClassifier,"{""max_depth"":4}",2.305269241333008,0.656
glass,"(205, 9)",44.584972,0.6730769230769231,DecisionTreeClassifier,"{""max_depth"":4}",1.1873245239257812,0.6538461538461539
glass2,"(163, 9)",32.330543,0.7073170731707317,DecisionTreeClassifier,"{""max_depth"":4}",0.7669925689697266,0.7317073170731707
haberman,"(306, 3)",11.125683,0.6363636363636364,DecisionTreeClassifier,"{""max_depth"":4}",0.8759498596191406,0.6233766233766234
hayes-roth,"(160, 4)",6.282984,0.65,DecisionTreeClassifier,"{""max_depth"":4}",1.333475112915039,0.65
heart-c,"(303, 13)",28.608573,0.7105263157894737,DecisionTreeClassifier,"{""max_depth"":4}",0.8628368377685547,0.7105263157894737
heart-h,"(294, 13)",23.769916,0.6891891891891891,DecisionTreeClassifier,"{""max_depth"":4}",0.7755756378173828,0.6891891891891891
heart-statlog,"(270, 13)",27.972739,0.7205882352941176,DecisionTreeClassifier,"{""max_depth"":4}",0.7877349853515625,0.75
hepatitis,"(155, 19)",19.947712,0.8717948717948718,DecisionTreeClassifier,"{""max_depth"":4}",0.6952285766601562,0.8205128205128205
horse-colic,"(368, 22)",26.339237,0.8478260869565217,DecisionTreeClassifier,"{""max_depth"":4}",1.0154247283935547,0.8478260869565217
house-votes-84,"(435, 16)",34.067584,0.9541284403669725,DecisionTreeClassifier,"{""max_depth"":4}",0.6856918334960938,0.9541284403669725
hungarian,"(294, 13)",30.626081,0.8243243243243243,DecisionTreeClassifier,"{""max_depth"":4}",1.1556148529052734,0.8243243243243243
hypothyroid,"(1000, 25)",201.205946,0.956,DecisionTreeClassifier,"{""max_depth"":4}",2.1905899047851562,0.956
ionosphere,"(351, 34)",228.636753,0.9090909090909091,DecisionTreeClassifier,"{""max_depth"":4}",3.624439239501953,0.9090909090909091
iris,"(150, 4)",13.862272,1.0,DecisionTreeClassifier,"{""max_depth"":4}",0.7569789886474609,0.9736842105263158
irish,"(500, 5)",22.749108,1.0,DecisionTreeClassifier,"{""max_depth"":4}",1.0216236114501953,1.0
kddcup,"(1000, 41)",304.78412,1.0,DecisionTreeClassifier,"{""max_depth"":4}",1.413583755493164,0.996
kr-vs-kp,"(1000, 36)",106.241111,0.976,DecisionTreeClassifier,"{""max_depth"":4}",1.0323524475097656,0.976
labor,"(57, 16)",10.764023,0.7333333333333333,DecisionTreeClassifier,"{""max_depth"":4}",0.7305145263671875,0.7333333333333333
led24,"(1000, 24)",118.646435,0.704,DecisionTreeClassifier,"{""max_depth"":4}",1.2602806091308594,0.704
led7,"(1000, 7)",39.096275,0.588,DecisionTreeClassifier,"{""max_depth"":4}",1.1162757873535156,0.588
letter,"(1000, 16)",54.135327,0.26,DecisionTreeClassifier,"{""max_depth"":4}",2.7000904083251953,0.26
liver-disorder,"(345, 6)",48.452545,0.5862068965517241,DecisionTreeClassifier,"{""max_depth"":4}",1.1327266693115234,0.5862068965517241
lupus,"(87, 3)",6.522377,0.7727272727272727,DecisionTreeClassifier,"{""max_depth"":4}",0.5447864532470703,0.7727272727272727
lymphography,"(148, 18)",13.45591,0.7027027027027027,DecisionTreeClassifier,"{""max_depth"":4}",0.5993843078613281,0.7567567567567568
mfeat-factors,"(1000, 216)",164.90505,0.912,DecisionTreeClassifier,"{""max_depth"":4}",27.88543701171875,0.912
